Crime_Rate,Residential_Land,Industrial_Land,River_Dummy,Air_Pollution,Average_Rooms,Older Units,Distance_To_Employment,Acess_To_Highway,TAX,Black Population,Low_State_Population,Median Home Value
1%,1800%,231%,0%,54%,6.58,65,4.09,1,? 296.00,39690%,498%,? 24.00
3%,0%,707%,0%,47%,6.42,79,4.9671,2,? 242.00,39690%,914%,? 21.60
3%,0%,707%,0%,47%,7.19,61,4.9671,2,? 242.00,39283%,403%,? 34.70
3%,0%,218%,0%,46%,7.00,46,6.0622,3,? 222.00,39463%,294%,? 33.40
7%,0%,218%,0%,46%,7.15,54,6.0622,3,? 222.00,39690%,NA,? 36.20
3%,0%,218%,0%,46%,6.43,59,6.0622,3,? 222.00,39412%,521%,? 28.70
9%,1250%,787%,NA,52%,6.01,67,5.5605,5,? 311.00,39560%,1243%,? 22.90
14%,1250%,787%,0%,52%,6.17,96,5.9505,5,? 311.00,39690%,1915%,? 27.10
21%,1250%,787%,0%,52%,5.63,100,6.0821,5,? 311.00,38663%,2993%,? 16.50
17%,1250%,787%,NA,52%,6.00,86,6.5921,5,? 311.00,38671%,1710%,? 18.90
22%,1250%,787%,0%,52%,6.38,94,6.3467,5,? 311.00,39252%,2045%,? 15.00
12%,1250%,787%,0%,52%,6.01,83,6.2267,5,? 311.00,39690%,1327%,? 18.90
9%,1250%,787%,0%,52%,5.89,39,5.4509,5,? 311.00,39050%,1571%,? 21.70
63%,0%,814%,0%,54%,5.95,62,4.7075,4,? 307.00,39690%,826%,? 20.40
64%,0%,814%,NA,54%,6.10,85,4.4619,4,? 307.00,38002%,1026%,? 18.20
63%,0%,814%,0%,54%,5.83,57,4.4986,4,? 307.00,39562%,847%,? 19.90
105%,0%,814%,0%,54%,5.94,29,4.4986,4,? 307.00,38685%,658%,? 23.10
78%,0%,814%,0%,54%,5.99,82,4.2579,4,? 307.00,38675%,1467%,? 17.50
80%,0%,814%,0%,54%,5.46,37,3.7965,4,? 307.00,28899%,1169%,? 20.20
73%,0%,814%,0%,54%,5.73,70,3.7965,4,? 307.00,39095%,1128%,? 18.20
125%,0%,814%,0%,54%,5.57,98,3.7979,4,? 307.00,37657%,2102%,? 13.60
85%,0%,814%,0%,54%,5.97,89,4.0123,4,? 307.00,39253%,1383%,? 19.60
123%,0%,814%,0%,54%,6.14,92,3.9769,4,? 307.00,39690%,1872%,? 15.20
99%,0%,814%,0%,54%,5.81,100,4.0952,4,? 307.00,39454%,1988%,? 14.50
75%,0%,814%,0%,54%,5.92,94,4.3996,4,? 307.00,39433%,1630%,? 15.60
84%,0%,814%,0%,54%,5.60,86,4.4546,4,? 307.00,30342%,1651%,? 13.90
67%,0%,814%,0%,54%,5.81,90,4.682,4,? 307.00,37688%,1481%,? 16.60
96%,0%,814%,0%,54%,6.05,89,4.4534,4,? 307.00,30638%,1728%,? 14.80
77%,0%,814%,0%,54%,6.50,94,4.4547,4,? 307.00,38794%,1280%,? 18.40
100%,0%,814%,0%,54%,6.67,87,4.239,4,? 307.00,38023%,1198%,? 21.00
113%,0%,814%,0%,54%,5.71,94,4.233,4,? 307.00,36017%,2260%,? 12.70
135%,0%,814%,0%,54%,6.07,100,4.175,4,? 307.00,37673%,1304%,? 14.50
139%,0%,814%,0%,54%,5.95,82,3.99,4,? 307.00,23260%,2771%,? 13.20
115%,0%,814%,0%,54%,5.70,95,3.7872,4,? 307.00,35877%,1835%,? 13.10
161%,0%,814%,0%,54%,6.10,97,3.7598,4,? 307.00,24831%,2034%,? 13.50
6%,0%,596%,0%,50%,5.93,68,3.3603,5,? 279.00,39690%,NA,? 18.90
10%,0%,NA,0%,50%,5.84,61,3.3779,5,? 279.00,37756%,1141%,? 20.00
8%,0%,596%,0%,50%,5.85,42,3.9342,5,? 279.00,39690%,877%,? 21.00
18%,0%,596%,0%,50%,5.97,30,3.8473,5,? 279.00,39343%,1013%,? 24.70
3%,7500%,295%,0%,43%,6.60,22,5.4011,3,? 252.00,39563%,432%,? 30.80
3%,7500%,295%,0%,43%,7.02,16,5.4011,3,? 252.00,39562%,198%,? 34.90
13%,0%,691%,0%,45%,6.77,3,5.7209,3,? 233.00,38541%,484%,? 26.60
14%,0%,691%,0%,45%,6.17,7,5.7209,3,? 233.00,38337%,581%,? 25.30
16%,0%,691%,NA,45%,6.21,7,5.7209,3,? 233.00,39446%,744%,? 24.70
12%,0%,691%,0%,45%,6.07,40,5.7209,3,? 233.00,38939%,955%,? 21.20
17%,0%,691%,0%,45%,5.68,34,5.1004,3,? 233.00,39690%,1021%,? 19.30
19%,0%,691%,0%,45%,5.79,33,5.1004,3,? 233.00,39690%,1415%,? 20.00
23%,0%,NA,0%,45%,6.03,86,5.6894,3,? 233.00,39274%,1880%,? 16.60
25%,0%,691%,0%,45%,5.40,95,5.87,3,? 233.00,39690%,3081%,? 14.40
22%,0%,691%,0%,45%,5.60,62,6.0877,3,? 233.00,39690%,1620%,? 19.40
9%,2100%,564%,0%,44%,5.96,46,6.8147,4,? 243.00,39556%,1345%,? 19.70
4%,2100%,NA,0%,44%,6.12,63,6.8147,4,? 243.00,39397%,943%,? 20.50
5%,2100%,564%,0%,44%,6.51,21,6.8147,4,? 243.00,39690%,528%,? 25.00
NA,2100%,564%,0%,44%,6.00,21,6.8147,4,? 243.00,39690%,843%,? 23.40
1%,7500%,400%,0%,41%,5.89,48,7.3197,3,? 469.00,39690%,1480%,? 18.90
1%,9000%,122%,0%,40%,7.25,22,8.6966,5,? 226.00,39593%,481%,? 35.40
2%,8500%,74%,0%,41%,6.38,36,9.1876,2,? 313.00,39690%,577%,? 24.70
1%,10000%,132%,0%,41%,6.82,41,8.3248,5,? 256.00,39290%,395%,? 31.60
15%,2500%,513%,0%,45%,6.15,29,7.8148,8,? 284.00,39068%,686%,? 23.30
10%,2500%,513%,0%,45%,5.93,47,6.932,8,? 284.00,39690%,922%,? 19.60
15%,2500%,513%,0%,45%,5.74,66,7.2254,8,? 284.00,39511%,1315%,? 18.70
17%,2500%,513%,0%,45%,5.97,93,6.8185,8,? 284.00,37808%,1444%,? 16.00
11%,2500%,513%,0%,45%,6.46,68,7.2255,8,? 284.00,39690%,673%,? 22.20
13%,2500%,513%,0%,45%,6.76,43,7.9809,8,? 284.00,39558%,950%,? 25.00
2%,1750%,138%,0%,42%,7.10,60,9.2229,3,? 216.00,39324%,805%,? 33.00
4%,8000%,337%,0%,40%,6.29,18,6.6115,4,? 337.00,39690%,467%,? 23.50
4%,8000%,337%,0%,40%,5.79,31,6.6115,4,? 337.00,39690%,1024%,? 19.40
6%,1250%,607%,0%,41%,5.88,21,6.498,4,? 345.00,39621%,810%,? 22.00
14%,1250%,607%,0%,41%,5.59,37,6.498,4,? 345.00,39690%,1309%,? 17.40
13%,1250%,607%,0%,41%,5.89,33,6.498,4,? 345.00,39690%,879%,? 20.90
9%,0%,1081%,0%,41%,6.42,7,5.2873,4,? 305.00,38373%,672%,? 24.20
16%,0%,1081%,0%,41%,5.96,18,5.2873,4,? 305.00,37694%,988%,? 21.70
9%,0%,1081%,0%,41%,6.07,8,5.2873,4,? 305.00,39091%,552%,? 22.80
20%,0%,1081%,0%,41%,6.25,6,5.2873,4,? 305.00,37717%,NA,? 23.40
8%,0%,1283%,0%,44%,6.27,NA,4.2515,5,? 398.00,39492%,678%,? 24.10
10%,0%,1283%,0%,44%,6.29,45,4.5026,5,? 398.00,38323%,894%,? 21.40
10%,0%,1283%,0%,44%,6.28,75,4.0522,5,? 398.00,37366%,1197%,? 20.00
9%,0%,1283%,0%,44%,6.14,46,4.0905,5,? 398.00,38696%,1027%,? 20.80
6%,0%,1283%,0%,44%,6.23,54,5.0141,5,? 398.00,38640%,1234%,? 21.20
8%,0%,1283%,0%,44%,5.87,37,4.5026,5,? 398.00,39606%,NA,? 20.30
4%,2500%,486%,0%,43%,6.73,34,5.4007,4,? 281.00,39690%,529%,? 28.00
4%,2500%,486%,0%,43%,6.62,70,5.4007,4,? 281.00,39563%,722%,? 23.90
4%,2500%,486%,0%,43%,6.30,32,5.4007,4,? 281.00,39690%,672%,? 24.80
4%,2500%,486%,0%,43%,6.17,47,5.4007,4,? 281.00,39064%,751%,? 22.90
5%,0%,449%,0%,45%,6.39,48,4.7794,3,? 247.00,39690%,962%,? 23.90
6%,0%,449%,0%,45%,6.63,56,4.4377,3,? 247.00,39230%,653%,? 26.60
5%,0%,449%,0%,45%,6.02,45,4.4272,3,? 247.00,39599%,1286%,? 22.50
7%,0%,449%,0%,45%,6.12,57,3.7476,3,? 247.00,39515%,NA,? 22.20
6%,0%,341%,0%,49%,7.01,86,3.4217,2,? 270.00,39690%,550%,? 23.60
5%,0%,341%,0%,49%,7.08,63,3.4145,2,? 270.00,39606%,570%,? 28.70
5%,0%,341%,0%,49%,6.42,66,3.0923,2,? 270.00,39218%,881%,? 22.60
4%,0%,341%,0%,49%,6.41,74,3.0921,2,? 270.00,39355%,820%,? 22.00
4%,NA,1504%,0%,46%,6.44,54,3.6659,4,? 270.00,39501%,816%,? 22.90
3%,2800%,1504%,0%,46%,6.21,29,3.6659,4,? 270.00,39633%,621%,? 25.00
4%,2800%,1504%,0%,46%,6.25,77,3.615,4,? 270.00,39690%,1059%,? 20.60
12%,0%,289%,0%,45%,6.63,58,3.4952,2,? 276.00,35798%,665%,? 28.40
12%,0%,289%,0%,45%,6.16,70,3.4952,2,? 276.00,39183%,1134%,? 21.40
12%,0%,289%,0%,45%,8.07,76,3.4952,2,? 276.00,39690%,421%,? 38.70
8%,0%,289%,0%,45%,7.82,37,3.4952,2,? 276.00,39353%,357%,? 43.80
7%,0%,289%,0%,45%,7.42,63,3.4952,2,? 276.00,39690%,619%,? 33.20
15%,0%,856%,0%,52%,6.73,80,2.7778,5,? 384.00,39476%,942%,? 27.50
11%,0%,856%,0%,52%,6.78,71,2.8561,5,? 384.00,39558%,767%,? 26.50
23%,0%,856%,0%,52%,6.41,85,2.7147,5,? 384.00,7080%,1063%,? 18.60
21%,0%,856%,0%,52%,6.14,NA,2.7147,5,? 384.00,39447%,1344%,? 19.30
14%,0%,856%,0%,52%,6.17,90,2.421,5,? 384.00,39269%,1233%,? 20.10
13%,0%,856%,0%,52%,5.85,97,2.1069,5,? 384.00,39405%,1647%,? 19.50
17%,0%,856%,0%,52%,5.84,92,2.211,5,? 384.00,39567%,1866%,? 19.50
13%,0%,856%,0%,52%,6.13,85,2.1224,5,? 384.00,38769%,1409%,? 20.40
13%,0%,856%,0%,52%,6.47,97,2.4329,5,? 384.00,39524%,1227%,? 19.80
26%,0%,856%,0%,52%,6.23,91,2.5451,5,? 384.00,39123%,1555%,? 19.40
11%,0%,856%,0%,52%,6.20,54,2.7778,5,? 384.00,39349%,1300%,? 21.70
10%,0%,1001%,0%,55%,6.72,82,2.6775,6,? 432.00,39559%,1016%,? 22.80
12%,0%,1001%,0%,55%,5.91,93,2.3534,6,? 432.00,39495%,1621%,? 18.80
22%,0%,1001%,0%,55%,6.09,95,2.548,6,? 432.00,39690%,1709%,? 18.70
14%,0%,1001%,0%,55%,6.25,84,2.2565,6,? 432.00,38874%,1045%,? 18.50
NA,0%,1001%,0%,55%,5.93,88,2.4631,6,? 432.00,34491%,1576%,? 18.30
13%,0%,1001%,0%,55%,6.18,73,2.7301,6,? 432.00,39330%,NA,? 21.20
15%,0%,1001%,0%,55%,6.02,83,2.7474,6,? 432.00,39451%,1030%,? 19.20
13%,NA,1001%,0%,55%,5.87,73,2.4775,6,? 432.00,33863%,1537%,? 20.40
14%,0%,1001%,NA,55%,5.73,65,2.7592,6,? 432.00,39150%,1361%,? 19.30
7%,0%,2565%,0%,58%,5.87,70,2.2577,2,? 188.00,38915%,1437%,? 22.00
7%,0%,2565%,0%,58%,6.00,84,2.1974,2,? 188.00,37767%,1427%,? 20.30
9%,0%,2565%,0%,58%,5.96,93,2.0869,2,? 188.00,37809%,1793%,? 20.50
15%,0%,NA,0%,58%,5.86,97,1.9444,2,? 188.00,37031%,2541%,? 17.30
10%,0%,2565%,0%,58%,5.88,96,2.0063,2,? 188.00,37938%,1758%,? 18.80
17%,0%,2565%,0%,58%,5.99,88,1.9929,2,? 188.00,38502%,1481%,? 21.40
39%,0%,2565%,0%,58%,5.61,NA,1.7572,2,? 188.00,35929%,2726%,? 15.70
26%,0%,2189%,0%,62%,5.69,96,1.7883,4,? 437.00,39211%,1719%,? 16.20
33%,0%,2189%,0%,62%,6.43,99,1.8125,4,? 437.00,39690%,1539%,? 18.00
88%,0%,2189%,0%,62%,5.64,95,1.9799,4,? 437.00,39690%,1834%,? 14.30
34%,0%,2189%,0%,62%,6.46,99,2.1185,4,? 437.00,39504%,1260%,? 19.20
119%,0%,2189%,0%,62%,6.33,98,2.271,4,? 437.00,39690%,1226%,? 19.60
59%,0%,2189%,0%,62%,6.37,98,2.3274,4,? 437.00,38576%,1112%,? 23.00
33%,NA,NA,0%,62%,5.82,95,2.4699,4,? 437.00,38869%,1503%,? 18.40
98%,0%,2189%,0%,62%,5.76,98,2.346,4,? 437.00,26276%,1731%,? 15.60
56%,0%,2189%,0%,62%,6.34,98,2.1107,4,? 437.00,39467%,1696%,? 18.10
32%,0%,2189%,0%,62%,5.94,94,1.9669,4,? 437.00,37825%,1690%,? 17.40
35%,0%,2189%,0%,62%,6.45,98,1.8498,4,? 437.00,39408%,1459%,? 17.10
25%,0%,2189%,0%,62%,5.86,NA,1.6686,4,? 437.00,39204%,2132%,? 13.30
54%,0%,2189%,0%,62%,6.15,98,1.6687,4,? 437.00,39690%,1846%,? 17.80
29%,0%,2189%,0%,62%,6.17,94,1.6119,4,? 437.00,38808%,2416%,? 14.00
163%,0%,2189%,0%,62%,5.02,100,1.4394,4,? 437.00,39690%,3441%,? 14.40
332%,0%,1958%,100%,87%,5.40,100,1.3216,5,? 403.00,39690%,2682%,? 13.40
410%,0%,1958%,0%,87%,5.47,100,1.4118,5,? 403.00,39690%,2642%,? 15.60
278%,0%,1958%,0%,87%,4.90,98,1.3459,5,? 403.00,39690%,2929%,? 11.80
238%,0%,1958%,0%,87%,6.13,100,1.4191,5,? 403.00,17291%,2780%,? 13.80
216%,NA,1958%,0%,87%,5.63,100,1.5166,5,? 403.00,16927%,1665%,? 15.60
237%,0%,NA,0%,87%,4.93,96,1.4608,5,? 403.00,39171%,2953%,? 14.60
233%,0%,NA,0%,87%,5.19,94,1.5296,5,? 403.00,35699%,2832%,? 17.80
273%,0%,1958%,0%,87%,5.60,95,1.5257,5,? 403.00,35185%,2145%,? 15.40
166%,0%,1958%,0%,87%,6.12,NA,1.618,5,? 403.00,37280%,1410%,? 21.50
150%,0%,1958%,0%,87%,5.40,100,1.5916,5,? 403.00,34160%,1328%,? 19.60
113%,0%,1958%,NA,87%,5.01,88,1.6102,5,? 403.00,34328%,1212%,? 15.30
215%,0%,1958%,0%,87%,5.71,99,1.6232,5,? 403.00,26195%,1579%,? 19.40
141%,0%,1958%,100%,87%,6.13,96,1.7494,5,? 403.00,32102%,1512%,? 17.00
354%,0%,1958%,100%,87%,6.15,NA,1.7455,5,? 403.00,8801%,1502%,? 15.60
245%,0%,1958%,0%,87%,5.27,94,1.7364,5,? 403.00,8863%,1614%,? 13.10
122%,NA,1958%,0%,61%,6.94,97,1.8773,5,? 403.00,36343%,459%,? 41.30
134%,0%,1958%,0%,61%,6.07,100,1.7573,5,? 403.00,35389%,643%,? 24.30
143%,0%,1958%,0%,87%,6.51,100,1.7659,5,? 403.00,36431%,739%,? 23.30
127%,0%,1958%,100%,61%,6.25,93,1.7984,5,? 403.00,33892%,550%,? 27.00
146%,0%,1958%,0%,61%,7.49,91,1.9709,5,? 403.00,37443%,173%,? 50.00
183%,0%,1958%,100%,61%,7.80,98,2.0407,5,? 403.00,38961%,192%,? 50.00
152%,0%,1958%,100%,61%,8.38,NA,2.162,5,? 403.00,38845%,332%,? 50.00
224%,0%,1958%,0%,61%,5.85,92,2.422,5,? 403.00,39511%,1164%,? 22.70
292%,0%,1958%,0%,61%,6.10,93,2.2834,5,? 403.00,24016%,981%,? 25.00
201%,0%,1958%,0%,61%,7.93,96,2.0459,5,? 403.00,36930%,370%,? 50.00
180%,NA,1958%,0%,61%,5.88,79,2.4259,5,? 403.00,22761%,1214%,? 23.80
230%,0%,1958%,0%,61%,6.32,96,2.1,5,? 403.00,29709%,1110%,? 23.80
245%,0%,1958%,0%,61%,6.40,95,2.2625,5,? 403.00,33004%,1132%,? 22.30
121%,0%,1958%,0%,61%,5.88,95,2.4259,5,? 403.00,29229%,1443%,? 17.40
231%,0%,1958%,0%,61%,5.88,97,2.3887,5,? 403.00,34813%,1203%,? 19.10
14%,0%,405%,0%,51%,5.57,89,2.5961,5,? 296.00,39690%,1469%,? 23.10
9%,0%,NA,0%,51%,6.42,NA,2.6463,5,? 296.00,39550%,904%,? 23.60
8%,0%,405%,0%,51%,5.86,69,2.7019,5,? 296.00,39323%,964%,? 22.60
7%,0%,405%,0%,51%,6.55,33,3.1323,5,? 296.00,39096%,533%,? 29.40
7%,0%,405%,0%,51%,6.02,47,3.5549,5,? 296.00,39323%,1011%,? 23.20
5%,0%,NA,0%,51%,6.32,73,3.3175,5,? 296.00,39560%,629%,? 24.60
7%,0%,405%,0%,51%,6.86,74,2.9153,5,? 296.00,39127%,692%,? 29.90
6%,0%,246%,0%,49%,6.98,58,2.829,3,? 193.00,39690%,504%,? 37.20
7%,0%,246%,0%,49%,7.77,83,2.741,3,? 193.00,39556%,756%,? 39.80
7%,0%,246%,0%,49%,6.14,62,2.5979,3,? 193.00,39690%,945%,? 36.20
9%,0%,246%,0%,49%,7.16,92,2.7006,3,? 193.00,39412%,482%,? 37.90
NA,0%,246%,0%,49%,6.56,96,2.847,3,? 193.00,39690%,568%,? 32.50
8%,0%,246%,0%,49%,5.60,90,2.9879,3,? 193.00,39100%,1398%,? 26.40
6%,0%,246%,0%,49%,6.15,69,3.2797,3,? 193.00,38711%,1315%,? 29.60
6%,NA,246%,0%,49%,7.83,54,3.1992,3,? 193.00,39263%,445%,? 50.00
8%,4500%,344%,0%,44%,6.78,41,3.7886,5,? 398.00,39387%,668%,? 32.00
13%,4500%,344%,0%,44%,6.56,29,4.5667,5,? 398.00,38284%,456%,? 29.80
8%,4500%,344%,0%,44%,7.19,39,4.5667,5,? 398.00,39690%,539%,? 34.90
9%,4500%,344%,0%,44%,6.95,22,6.4798,5,? 398.00,37768%,510%,? 37.00
NA,4500%,344%,0%,44%,6.74,31,6.4798,5,? 398.00,38971%,469%,? 30.50
NA,4500%,344%,0%,44%,7.18,26,6.4798,5,? 398.00,39049%,287%,? 36.40
2%,6000%,293%,0%,40%,6.80,NA,6.2196,1,? 265.00,39337%,503%,? 31.10
1%,6000%,293%,0%,40%,6.60,19,6.2196,1,? 265.00,37670%,438%,? 29.10
1%,8000%,46%,0%,42%,7.88,32,5.6484,4,? 255.00,39423%,297%,? 50.00
NA,8000%,152%,0%,40%,7.29,34,7.309,2,? 329.00,39690%,408%,? 33.30
5%,8000%,152%,0%,40%,7.11,37,7.309,2,? 329.00,35431%,861%,? 30.30
4%,8000%,152%,0%,40%,7.27,38,7.309,2,? 329.00,39220%,662%,? 34.60
3%,9500%,147%,0%,40%,6.98,15,7.6534,3,? 402.00,39690%,456%,? 34.90
